trade_id,date,symbol,direction,timeframe,setup,risk_usd,planned_rr,net_pnl,fees,result
1,2025-05-30,FARTCOIN,short,5m,breakout retest,118.8,0.2,22.44,1.31,win
2,2025-05-08,ETH,long,5m,liquidity sweep,169.48,1.69,280.09,6.32,win
3,2025-04-18,SOL,short,3m,liquidity sweep,167.58,0.76,124.39,2.75,win
4,2025-06-05,XRP,short,3m,range rejection,121.01,1.52,181.49,2.22,win
5,2025-05-27,DOGE,long,15m,breakout retest,109.03,2.24,240.1,4.44,win
6,2025-04-22,ADA,long,4h,liquidity sweep,150.21,1.07,-152.56,2.35,loss
7,2025-01-09,ETH,long,1h,trend pullback,149.6,1.77,-153.12,3.52,loss
8,2025-02-17,ETH,short,4h,range rejection,129.18,2.1,-135.28,6.1,loss
9,2025-05-27,ADA,long,4h,breakout retest,152.41,1.6,240.23,3.5,win
10,2025-04-20,ETH,short,5m,trend pullback,120.08,1.71,-125.06,4.98,loss
11,2025-01-31,WLFI,long,3m,breakout retest,99.79,0.2,15.18,4.78,win
12,2025-04-10,WLFI,short,15m,liquidity sweep,132.52,1.51,193.66,7.1,win
13,2025-04-13,ADA,short,4h,range rejection,118.98,0.2,-126.23,7.24,loss
14,2025-01-09,WLFI,long,3m,breakout retest,74.09,2.03,146.97,3.34,win
15,2025-01-16,ADA,short,4h,liquidity sweep,57.7,1.37,71.17,7.64,win
16,2025-04-17,FARTCOIN,long,4h,range rejection,115.7,0.48,-117.27,1.56,loss
17,2025-01-11,SOL,short,15m,range rejection,36.65,1.77,62.41,2.58,win
18,2025-02-28,XRP,short,5m,trend pullback,23.43,2.1,42.73,6.42,win
19,2025-05-22,DOGE,long,5m,range rejection,97.15,0.93,86.97,3.64,win
20,2025-01-30,DOGE,long,15m,VWAP reclaim,90.07,1.81,-97.95,7.88,loss
21,2025-04-22,ADA,short,3m,breakout retest,166.89,0.2,31.73,1.64,win
22,2025-01-04,DOGE,long,3m,breakout retest,159.72,1.55,246.36,1.4,win
23,2025-03-14,XRP,long,5m,VWAP reclaim,27.0,1.91,45.88,5.59,win
24,2025-05-03,SOL,short,4h,breakout retest,125.21,1.51,-126.75,1.53,loss
25,2025-02-26,XRP,short,4h,VWAP reclaim,90.97,2.35,210.13,3.57,win
26,2025-03-23,ADA,short,1h,trend pullback,131.64,0.29,36.8,1.38,win
27,2025-01-21,XRP,short,5m,VWAP reclaim,52.57,1.89,91.62,7.83,win
28,2025-04-06,ADA,long,5m,range rejection,135.99,1.89,-137.24,1.25,loss
29,2025-01-06,XRP,long,1h,VWAP reclaim,99.83,0.72,69.18,2.95,win
30,2025-03-13,ETH,long,1h,range rejection,156.73,2.77,432.48,1.13,win
31,2025-02-27,XRP,long,3m,VWAP reclaim,52.92,2.93,151.27,4.02,win
32,2025-01-07,BTC,short,15m,trend pullback,165.61,2.38,-168.96,3.35,loss
33,2025-03-29,ADA,long,3m,liquidity sweep,136.13,0.52,-143.19,7.06,loss
34,2025-05-17,DOGE,short,4h,VWAP reclaim,94.16,1.99,-99.14,4.98,loss
35,2025-04-30,SOL,short,3m,VWAP reclaim,139.3,1.49,-141.22,1.92,loss
36,2025-03-05,WLFI,long,3m,trend pullback,143.41,1.4,196.18,5.0,win
37,2025-03-10,WLFI,short,4h,liquidity sweep,125.48,1.56,-132.15,6.67,loss
38,2025-05-26,ETH,short,1h,range rejection,125.72,0.98,-132.66,6.93,loss
39,2025-01-03,BTC,short,4h,breakout retest,94.63,0.94,-98.99,4.36,loss
40,2025-05-29,DOGE,long,15m,liquidity sweep,170.21,1.95,326.21,5.27,win
41,2025-03-08,XRP,long,5m,breakout retest,142.56,0.72,95.43,7.08,win
42,2025-06-08,SOL,long,5m,trend pullback,124.96,2.11,258.4,5.58,win
43,2025-01-11,XRP,short,15m,VWAP reclaim,108.55,1.65,171.84,7.66,win
44,2025-05-19,BTC,short,3m,trend pullback,134.93,0.2,-138.38,3.45,loss
45,2025-05-11,XRP,long,1h,liquidity sweep,32.39,1.32,37.83,4.99,win
46,2025-02-06,DOGE,short,1h,VWAP reclaim,23.95,1.51,-27.47,3.52,loss
47,2025-06-09,XRP,short,5m,trend pullback,24.99,1.58,36.51,3.04,win
48,2025-06-05,BTC,long,4h,trend pullback,53.84,0.58,25.03,6.01,win
49,2025-04-07,FARTCOIN,long,1h,liquidity sweep,152.92,0.57,80.64,6.08,win
50,2025-05-25,ETH,long,1h,trend pullback,100.56,2.7,-105.4,4.84,loss
51,2025-06-05,ETH,long,15m,breakout retest,95.57,0.71,-99.66,4.09,loss
52,2025-03-26,WLFI,long,1h,VWAP reclaim,58.89,0.82,-62.43,3.53,loss
53,2025-04-24,ETH,long,15m,trend pullback,137.25,1.72,-140.78,3.53,loss
54,2025-05-04,ETH,short,4h,breakout retest,116.83,0.2,19.44,3.93,win
55,2025-05-30,ADA,short,15m,VWAP reclaim,126.54,1.0,-133.12,6.57,loss
56,2025-04-15,ETH,long,5m,breakout retest,87.36,1.76,-92.4,5.03,loss
57,2025-02-12,XRP,long,1h,liquidity sweep,39.33,1.08,37.75,4.88,win
58,2025-04-21,SOL,long,4h,trend pullback,23.83,0.2,3.25,1.51,win
59,2025-04-01,DOGE,short,15m,liquidity sweep,40.39,1.79,-43.08,2.69,loss
60,2025-06-01,FARTCOIN,short,3m,VWAP reclaim,117.4,0.89,98.41,6.06,win
61,2025-04-26,XRP,short,5m,breakout retest,138.51,1.35,180.47,6.3,win
62,2025-01-02,ETH,long,1h,VWAP reclaim,114.97,1.06,116.26,5.55,win
63,2025-05-11,XRP,long,5m,VWAP reclaim,135.61,0.56,69.88,6.41,win
64,2025-01-13,XRP,short,1h,VWAP reclaim,110.26,1.5,-115.32,5.06,loss
65,2025-03-23,FARTCOIN,short,5m,range rejection,141.17,0.9,-142.46,1.29,loss
66,2025-01-26,WLFI,short,1h,range rejection,75.58,1.63,120.34,3.01,win
67,2025-03-15,ADA,long,3m,breakout retest,170.27,2.14,359.85,5.24,win
68,2025-01-25,WLFI,long,3m,trend pullback,53.09,1.51,-59.38,6.28,loss
69,2025-01-02,BTC,long,15m,trend pullback,98.14,1.6,-101.73,3.59,loss
70,2025-05-14,DOGE,short,3m,range rejection,40.19,0.44,10.13,7.43,win
71,2025-03-09,DOGE,short,3m,VWAP reclaim,33.9,1.0,30.79,2.95,win
72,2025-01-20,ETH,long,4h,liquidity sweep,72.34,1.86,131.7,2.93,win
73,2025-04-21,FARTCOIN,long,5m,trend pullback,36.07,2.06,-40.72,4.65,loss
74,2025-03-04,BTC,long,5m,VWAP reclaim,41.9,0.63,18.59,7.6,win
75,2025-05-05,XRP,long,5m,liquidity sweep,150.22,1.18,-153.2,2.98,loss
76,2025-04-22,ADA,long,5m,liquidity sweep,30.76,0.2,-33.22,2.46,loss
77,2025-06-07,DOGE,short,1h,trend pullback,80.85,2.48,-86.31,5.46,loss
78,2025-03-01,SOL,short,1h,trend pullback,160.01,1.06,-164.44,4.43,loss
79,2025-03-17,FARTCOIN,short,15m,range rejection,35.45,0.2,-0.08,7.17,win
80,2025-03-05,XRP,short,15m,liquidity sweep,125.99,1.41,173.15,4.25,win
81,2025-02-02,FARTCOIN,short,1h,trend pullback,143.79,1.34,185.35,6.63,win
82,2025-01-08,DOGE,long,1h,liquidity sweep,66.55,2.86,183.39,7.23,win
83,2025-03-23,FARTCOIN,short,15m,liquidity sweep,85.8,2.6,-89.77,3.98,loss
84,2025-02-26,WLFI,short,1h,breakout retest,74.37,1.92,-77.53,3.16,loss
85,2025-06-10,SOL,long,5m,trend pullback,37.65,1.61,-42.93,5.28,loss
86,2025-04-08,BTC,long,4h,liquidity sweep,34.44,0.94,-41.83,7.39,loss
87,2025-04-03,BTC,long,1h,breakout retest,105.68,1.98,-112.54,6.87,loss
88,2025-04-06,WLFI,long,3m,liquidity sweep,73.04,1.3,88.96,6.13,win
89,2025-05-09,BTC,long,15m,liquidity sweep,83.67,1.67,137.83,2.1,win
90,2025-01-09,ADA,long,1h,breakout retest,63.59,1.81,108.5,6.49,win
91,2025-01-20,WLFI,long,1h,liquidity sweep,31.82,1.84,-38.16,6.34,loss
92,2025-01-25,BTC,long,4h,VWAP reclaim,137.74,1.67,-140.1,2.36,loss
93,2025-05-12,FARTCOIN,short,3m,VWAP reclaim,138.96,1.08,146.02,4.21,win
94,2025-03-16,XRP,short,15m,range rejection,88.73,2.08,180.64,3.84,win
95,2025-04-08,WLFI,long,15m,trend pullback,22.75,2.0,41.83,3.76,win
96,2025-02-27,ETH,short,1h,VWAP reclaim,112.46,1.73,187.76,6.4,win
97,2025-03-21,XRP,long,3m,trend pullback,73.19,1.77,-81.02,7.83,loss
98,2025-05-06,SOL,long,1h,trend pullback,114.95,2.35,265.92,3.82,win
99,2025-05-07,ADA,long,5m,liquidity sweep,60.32,0.72,39.86,3.37,win
100,2025-01-02,FARTCOIN,short,1h,trend pullback,62.9,1.41,83.5,4.94,win
101,2025-03-02,XRP,short,3m,liquidity sweep,71.49,2.16,-76.1,4.6,loss
102,2025-04-07,DOGE,long,3m,breakout retest,40.37,0.2,3.43,4.64,win
103,2025-01-30,ADA,short,4h,range rejection,26.25,2.63,66.83,2.2,win
104,2025-04-13,SOL,short,15m,trend pullback,21.48,1.78,30.36,7.97,win
105,2025-05-25,FARTCOIN,short,5m,trend pullback,124.04,1.54,185.75,4.66,win
106,2025-05-01,FARTCOIN,short,5m,breakout retest,94.06,2.22,-101.55,7.49,loss
107,2025-03-23,XRP,long,3m,VWAP reclaim,86.61,0.61,51.76,1.47,win
108,2025-01-25,ADA,long,1h,trend pullback,106.04,2.91,307.35,1.43,win
109,2025-03-31,SOL,long,3m,breakout retest,121.81,1.27,-125.23,3.41,loss
110,2025-04-20,WLFI,short,1h,VWAP reclaim,113.51,1.06,114.48,5.37,win
111,2025-06-01,ADA,long,15m,trend pullback,44.39,0.96,-47.35,2.96,loss
112,2025-05-14,ETH,long,4h,trend pullback,113.97,3.9,-117.28,3.31,loss
113,2025-02-23,WLFI,short,3m,trend pullback,46.9,3.01,-54.82,7.92,loss
114,2025-02-12,SOL,long,3m,breakout retest,96.07,2.21,210.91,1.54,win
115,2025-05-01,XRP,short,4h,range rejection,72.33,1.57,111.87,1.82,win
116,2025-05-02,DOGE,short,3m,trend pullback,76.8,0.2,-80.02,3.22,loss
117,2025-03-13,ADA,long,1h,VWAP reclaim,133.82,2.14,-138.74,4.92,loss
118,2025-03-31,ETH,short,15m,range rejection,48.48,0.2,-55.47,6.99,loss
119,2025-04-08,ADA,long,5m,range rejection,79.87,0.53,-87.84,7.97,loss
120,2025-01-02,FARTCOIN,long,15m,trend pullback,113.79,1.77,193.84,7.38,win
121,2025-01-09,BTC,short,15m,VWAP reclaim,123.55,1.32,-127.34,3.79,loss
122,2025-05-01,BTC,long,1h,trend pullback,179.56,1.66,-183.99,4.43,loss
123,2025-04-05,ETH,long,5m,breakout retest,24.61,0.75,-26.69,2.07,loss
124,2025-01-31,ETH,short,3m,trend pullback,28.97,2.02,-30.4,1.44,loss
125,2025-06-07,WLFI,long,15m,breakout retest,137.99,0.79,103.3,5.7,win
126,2025-04-14,FARTCOIN,long,5m,trend pullback,86.62,0.2,-88.05,1.43,loss
